head,dgp,path,t,alpha,true_v,true_e,e0_v,e2_v,e2_e,e3_v,e3_e
chronos_2,garch_t,5,896,0.01,-6.207708641855834,-7.696016431210742,-6.3463263511657715,-6.78209270774283,-8.649044781263447,-7.328410835379812,-9.093333655353097
chronos_2,garch_t,5,896,0.025,-4.942241408897053,-6.365121093188165,-5.56576681137085,-5.306685055970819,-7.015168846926282,-5.708832809410398,-7.475398620778014
chronos_2,garch_t,5,896,0.05,-3.9853941167133464,-5.387704137892665,-4.264833927154541,-4.232601486737144,-5.860928514139375,-4.482667757710233,-6.250477460138156
chronos_base,garch_t,5,896,0.01,-6.207708641855834,-7.696016431210742,-0.6674440503120422,-1.128263894590825,-1.3505348172562868,-0.9118836370080095,-1.0537778032916356
chronos_base,garch_t,5,896,0.025,-4.942241408897053,-6.365121093188165,-0.6390421986579895,-0.9526084909421215,-1.1560128921373531,-0.7816747286492348,-0.9237009862013696
chronos_base,garch_t,5,896,0.05,-3.9853941167133464,-5.387704137892665,-0.6248412728309631,-0.8247329287681119,-1.018594225967505,-0.683094968804695,-0.825221231231237
chronos_bolt,garch_t,5,913,0.01,-4.158210790076827,-5.155148285970775,-2.421051502227783,-5.578877747563786,-7.181002309338546,-5.473759046449937,-6.86619645822481
chronos_bolt,garch_t,5,913,0.025,-3.3105422208566173,-4.263652941341655,-2.421051502227783,-4.338929800871366,-5.787261605549662,-4.2452731029732,-5.605249358585506
chronos_bolt,garch_t,5,913,0.05,-2.669601583277885,-3.608933790621537,-2.421051502227783,-3.4458787699347697,-4.813323549091847,-3.3350222498172477,-4.670946300967385
chronos_2,garch_t,5,913,0.01,-4.158210790076827,-5.155148285970775,-5.760259628295898,-5.776963160363498,-7.439423366874813,-6.229830603020674,-7.818514394406163
chronos_2,garch_t,5,913,0.025,-3.3105422208566173,-4.263652941341655,-4.992353439331055,-4.490319057461736,-5.993194706802724,-4.828205158428019,-6.379852805704619
chronos_2,garch_t,5,913,0.05,-2.669601583277885,-3.608933790621537,-3.7125093936920166,-3.563635928859453,-4.982578365789584,-3.7896660009226215,-5.313871590801875
chronos_base,garch_t,5,913,0.01,-4.158210790076827,-5.155148285970775,-0.6553131341934204,-1.023482263462709,-1.2546906374681843,-0.8901221903919307,-1.0608238093772462
chronos_base,garch_t,5,913,0.025,-3.3105422208566173,-4.263652941341655,-0.5716561675071716,-0.8445409030677318,-1.0535548896014224,-0.739519701778183,-0.906241844297104
chronos_base,garch_t,5,913,0.05,-2.669601583277885,-3.608933790621537,-0.5437705516815186,-0.7156614877630731,-0.9130023759028513,-0.6279302737704794,-0.7917038096180061
chronos_bolt,garch_t,5,930,0.01,-4.515624411295364,-5.598252378049114,-2.128347158432007,-4.810473342608376,-6.21938848705813,-4.736228607722685,-6.122038559275367
chronos_bolt,garch_t,5,930,0.025,-3.595095588419631,-4.630129706064742,-2.128347158432007,-3.7361450784498085,-4.998882346221449,-3.63609869424672,-4.906074540843071
chronos_bolt,garch_t,5,930,0.05,-2.899063728719641,-3.9191350189772916,-2.128347158432007,-2.968232310131841,-4.152535057559858,-2.8653996210946437,-4.054227563033828
chronos_2,garch_t,5,930,0.01,-4.515624411295364,-5.598252378049114,-4.585354804992676,-4.961500539705894,-6.413681935969549,-5.131355677903522,-6.632934399701779
chronos_2,garch_t,5,930,0.025,-3.595095588419631,-4.630129706064742,-4.008515357971191,-3.8541808229456658,-5.155695378914845,-3.9393223349199347,-5.315390320512195
chronos_2,garch_t,5,930,0.05,-2.899063728719641,-3.9191350189772916,-3.047116994857788,-3.0626862886597195,-4.283357685467346,-3.1042400584085135,-4.392381148386269
chronos_base,garch_t,5,930,0.01,-4.515624411295364,-5.598252378049114,-0.6360287666320801,-1.019911662766186,-1.2447325340598618,-0.8932225508432048,-1.0802311303825753
chronos_base,garch_t,5,930,0.025,-3.595095588419631,-4.630129706064742,-0.6089637875556946,-0.8484808868567675,-1.0499761251425963,-0.7447651579680825,-0.9161424661301422
chronos_base,garch_t,5,930,0.05,-2.899063728719641,-3.9191350189772916,-0.5954312682151794,-0.7259448928823333,-0.9149243190749917,-0.6407629181508572,-0.8011896956391183
chronos_bolt,garch_t,5,946,0.01,-4.326952043260242,-5.364345516711684,-1.9484589099884033,-4.460077832264423,-5.773260176782477,-4.401604325126022,-5.7054400848545574
chronos_bolt,garch_t,5,946,0.025,-3.4448848675538595,-4.436673063885239,-1.9484589099884033,-3.461272188783194,-4.6364946186962,-3.36668978087567,-4.561448276752693
chronos_bolt,garch_t,5,946,0.05,-2.777934695619796,-3.7553852432363763,-1.9484589099884033,-2.7482600813070275,-3.8492419150805164,-2.641728343036068,-3.7600778151181062
chronos_2,garch_t,5,946,0.01,-4.326952043260242,-5.364345516711684,-3.9938223361968994,-4.501446177450017,-5.822788267171645,-4.631603307261159,-6.000373333960142
chronos_2,garch_t,5,946,0.025,-3.4448848675538595,-4.436673063885239,-3.5049307346343994,-3.4964342370346877,-4.678959168101205,-3.545147442099388,-4.799407885639392
chronos_2,garch_t,5,946,0.05,-2.777934695619796,-3.7553852432363763,-2.6901116371154785,-2.778991673157431,-3.886814697931437,-2.784081119732184,-3.9581271798580686
chronos_base,garch_t,5,946,0.01,-4.326952043260242,-5.364345516711684,-0.681345522403717,-1.0252046686545857,-1.2356413081285007,-0.9094447773275837,-1.0863911070785974
chronos_base,garch_t,5,946,0.025,-3.4448848675538595,-4.436673063885239,-0.6682426929473877,-0.8651466965236019,-1.0534753470097045,-0.7689943188671021,-0.9311375406700516
chronos_base,garch_t,5,946,0.05,-2.777934695619796,-3.7553852432363763,-0.6420371532440186,-0.7508869576321494,-0.9273185995806648,-0.6706082570647753,-0.8223818474018756
chronos_bolt,garch_t,5,963,0.01,-3.505468117281767,-4.345909543464105,-1.7780840396881104,-4.079372788658175,-5.268057408681343,-3.904308609269411,-5.1748967200046945
chronos_bolt,garch_t,5,963,0.025,-2.790863857556782,-3.5943582958072353,-1.7780840396881104,-3.1777728738400537,-4.239870539104577,-2.976085024448978,-4.085958384800101
chronos_bolt,garch_t,5,963,0.05,-2.2505360378454142,-3.042414870019346,-1.7780840396881104,-2.535064727737969,-3.528832973048031,-2.3527474850127894,-3.354694760858158
chronos_2,garch_t,5,963,0.01,-3.505468117281767,-4.345909543464105,-3.347032308578491,-3.8852396772633533,-5.024696788620436,-3.9140068312999663,-5.198033064113446
chronos_2,garch_t,5,963,0.025,-2.790863857556782,-3.5943582958072353,-2.951826572418213,-3.02097810843913,-4.039090665172495,-2.9759660746177103,-4.097577789500661
chronos_2,garch_t,5,963,0.05,-2.2505360378454142,-3.042414870019346,-2.2931506633758545,-2.404886711892859,-3.357499604400318,-2.3460359298516815,-3.3585801014927568
chronos_base,garch_t,5,963,0.01,-3.505468117281767,-4.345909543464105,-0.6094862222671509,-1.0615040120970052,-1.2926952207513442,-0.872271434900836,-1.067245677319061
chronos_base,garch_t,5,963,0.025,-2.790863857556782,-3.5943582958072353,-0.5967885851860046,-0.8861488585783299,-1.0927197511475222,-0.7298337017629424,-0.9001459499150221
chronos_base,garch_t,5,963,0.05,-2.2505360378454142,-3.042414870019346,-0.5713933110237122,-0.7611464226029789,-0.9544276999791909,-0.634181331419197,-0.7879321098188976
chronos_bolt,garch_t,5,980,0.01,-3.935352053181706,-4.878858820737275,-1.7896476984024048,-4.159798850954574,-5.358630656452954,-4.1128971442874205,-5.493015402124196
chronos_bolt,garch_t,5,980,0.025,-3.1331141646506353,-4.035143046813434,-1.7896476984024048,-3.234700912320029,-4.3166004173586305,-3.100373618432012,-4.308818133239691
chronos_bolt,garch_t,5,980,0.05,-2.526524652622445,-3.415513479165615,-1.7896476984024048,-2.569417241140054,-3.5895461040025003,-2.4189837005286026,-3.5118982995548755
chronos_2,garch_t,5,980,0.01,-3.935352053181706,-4.878858820737275,-3.093106269836426,-3.7136738654155597,-4.787740938706332,-3.7930738278754412,-5.070638716129087
chronos_2,garch_t,5,980,0.025,-3.1331141646506353,-4.035143046813434,-2.731647253036499,-2.884852648878463,-3.8541567911625956,-2.855788564226215,-3.9744363849867996
chronos_2,garch_t,5,980,0.05,-2.526524652622445,-3.415513479165615,-2.129215717315674,-2.288806329173625,-3.2027684188419165,-2.2250311422586937,-3.2367338058871855
chronos_base,garch_t,5,980,0.01,-3.935352053181706,-4.878858820737275,-0.580635130405426,-1.0152700167312674,-1.2456339263990255,-0.9111028842659538,-1.1441101591204745
chronos_base,garch_t,5,980,0.025,-3.1331141646506353,-4.035143046813434,-0.5559272766113281,-0.8375059826173715,-1.045400533550389,-0.7401571365765826,-0.9441804958860807
chronos_base,garch_t,5,980,0.05,-2.526524652622445,-3.415513479165615,-0.5435733795166016,-0.7096670757513448,-0.9056919660955097,-0.6251171340387736,-0.809635417832068
chronos_bolt,garch_t,5,997,0.01,-4.940375913380279,-6.124838712527868,-1.9293138980865479,-4.129381634898459,-5.215459585532001,-4.205377947986923,-5.601349256781193
chronos_bolt,garch_t,5,997,0.025,-3.933259729684437,-5.065651877169054,-1.9293138980865479,-3.2537387085555673,-4.259439019428465,-3.2043965138171826,-4.411066751005076
chronos_bolt,garch_t,5,997,0.05,-3.171757283642719,-4.2877791608638995,-1.9293138980865479,-2.6096749244097945,-3.5769314955339904,-2.5383996362203263,-3.6191195627312225
chronos_2,garch_t,5,997,0.01,-4.940375913380279,-6.124838712527868,-3.344132900238037,-4.050322752529791,-5.114326980072209,-3.966991823091941,-5.281525265510214
chronos_2,garch_t,5,997,0.025,-3.933259729684437,-5.065651877169054,-2.9616167545318604,-3.1924766145956136,-4.177736817866736,-3.0244054230946267,-4.1606811980776515
chronos_2,garch_t,5,997,0.05,-3.171757283642719,-4.2877791608638995,-2.324090003967285,-2.56150294577348,-3.5091007495904027,-2.3972613244788867,-3.414934450234911
chronos_base,garch_t,5,997,0.01,-4.940375913380279,-6.124838712527868,-0.4954034388065338,-0.8146685034925812,-0.9867228621712273,-0.7844914491566596,-0.9914402583084089
