asset,config,alpha,erule,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor
nvda,topk50,0.01,e0,2639,26.39,0.3819628647214854,5806.848238632046,0.0,9.999000099990002e-05,5808.262327036466,0.0,9.999000099990002e-05,0.0,0.7869026937560551,2.1821487232025287,0.42478057774103894
nvda,topk50,0.025,e0,2639,65.97500000000001,0.3861311102690413,4079.6139804503027,0.0,9.999000099990002e-05,4080.910011788736,0.0,9.999000099990002e-05,0.0,0.8121760333458623,2.1816304097196397,0.26859101422661424
nvda,topk50,0.05,e0,2639,131.95000000000002,0.39067828723001136,2810.910505157459,0.0,9.999000099990002e-05,2813.373086087642,0.0,9.999000099990002e-05,0.0,0.8399055601682612,2.180215632963349,0.1897993636859994
nvda,topk500,0.01,e0,2639,26.39,0.08639636225843123,596.0546116244409,1.2076944772121553e-131,9.999000099990002e-05,596.3650106692053,3.1694458269924105e-130,9.999000099990002e-05,0.0,0.22634999360943314,2.434016194879399,0.47380950459441085
nvda,topk500,0.025,e0,2639,65.97500000000001,0.0989010989010989,342.99806378311746,1.41890706730436e-76,9.999000099990002e-05,342.9995558379135,3.3005992919202206e-75,9.999000099990002e-05,7.224523542130627e-161,0.2981585268944211,2.3956020233328266,0.2949340888647499
nvda,topk500,0.05,e0,2639,131.95000000000002,0.11822660098522167,190.15390391478877,2.94264053331435e-43,9.999000099990002e-05,190.15555639627178,5.1079375267006245e-42,9.999000099990002e-05,3.402895404351751e-68,0.4035550892361241,2.344639735004275,0.2041133560591264
nvda,untruncated,0.01,e0,2639,26.39,0.012504736642667677,1.5492167890343467,0.21325110126795882,0.23897610238976102,2.165787973093586,0.33861416147464807,0.24527547245275472,0.46463928213348005,0.103352263484804,2.925828831591928,0.5695465429281186
nvda,untruncated,0.025,e0,2639,65.97500000000001,0.026525198938992044,0.247009972179967,0.6191883616232297,0.6684331566843316,0.25828245398690797,0.8788498394602882,0.9246075392460754,0.03489787038728744,0.2048293011229349,2.6214455889249724,0.32273877661969586
nvda,untruncated,0.05,e0,2639,131.95000000000002,0.05646078059871163,2.230144180884963,0.1353412176644807,0.1431856814318568,3.0514042802165022,0.217468310023925,0.22557744225577442,0.013954109670551131,0.34030509383362745,2.3254415887973696,0.20244205534972418
spx,topk50,0.01,e0,2639,26.39,0.36225843122394846,5383.373621428103,0.0,9.999000099990002e-05,5383.557674896631,0.0,9.999000099990002e-05,0.0,0.2691265986434617,0.8376709574098908,0.16306237492522999
spx,topk50,0.025,e0,2639,65.97500000000001,0.37059492231906027,3819.9187330295936,0.0,9.999000099990002e-05,3820.3888610023605,0.0,9.999000099990002e-05,0.0,0.28163252229659813,0.8801657912038481,0.10836144449297082
spx,topk50,0.05,e0,2639,131.95000000000002,0.3740053050397878,2594.010760712564,0.0,9.999000099990002e-05,2594.8352312708053,0.0,9.999000099990002e-05,0.0,0.2913298571523909,0.88259231151312,0.07683435371558113
spx,topk500,0.01,e0,2639,26.39,0.08791208791208792,614.0243689735621,1.4908886997959966e-135,9.999000099990002e-05,621.1136188738085,1.3393415562857233e-135,9.999000099990002e-05,0.0,0.09313738807202558,1.0306823459593657,0.2006342820399389
spx,topk500,0.025,e0,2639,65.97500000000001,0.09738537324744222,331.433870819548,4.682636005905253e-74,9.999000099990002e-05,335.96907127029044,1.109795932047164e-73,9.999000099990002e-05,8.867753860144724e-168,0.12020501446366635,1.0898862229758166,0.13418113568480533
spx,topk500,0.05,e0,2639,131.95000000000002,0.1178476695718075,188.28732814174236,7.519327544480588e-43,9.999000099990002e-05,190.66909951837943,3.9512190302733036e-42,9.999000099990002e-05,6.538559407884428e-75,0.15530996910773107,1.065283754163038,0.0927386152214496
spx,untruncated,0.01,e0,2639,26.39,0.017430845017051912,12.047935063128534,0.0005184978353012016,0.0005999400059994001,13.371369963109373,0.0012486591523052577,0.000999900009999,2.0639429256847817e-05,0.04070435967893894,0.8249828512926659,0.16059248779535346
spx,untruncated,0.025,e0,2639,65.97500000000001,0.03220917014020462,5.164832836342612,0.02304867570074784,0.025197480251974803,5.712127180816992,0.05749463784433347,0.05499450054994501,3.2218729890642796e-10,0.0788163918052018,0.9271572680907799,0.11414679125969907
spx,untruncated,0.05,e0,2639,131.95000000000002,0.054187192118226604,0.9493436195593858,0.32988642958693126,0.35006499350064996,5.708429477535901,0.057601035226013605,0.0613938606139386,1.1661433928668074e-08,0.1273100792185254,0.9488980674271346,0.08260662233476074
