"cell_id","forecaster","erule","asset","alpha","n","esr_p","esback_version"
"timesfm_2_5.e3.brent.a01","timesfm_2_5","e3","brent",0.01,2641,0.473316956688075,"0.3.1"
"moirai_2_0.e1.brent.a01","moirai_2_0","e1","brent",0.01,2641,6.5652783209913e-10,"0.3.1"
"moirai_2_0.e2.brent.a01","moirai_2_0","e2","brent",0.01,2641,0.0515537236606506,"0.3.1"
"moirai_2_0.e3.brent.a01","moirai_2_0","e3","brent",0.01,2641,0.598127887341234,"0.3.1"
"lag_llama.e1.brent.a01","lag_llama","e1","brent",0.01,2641,2.22044604925031e-16,"0.3.1"
"lag_llama.e2.brent.a01","lag_llama","e2","brent",0.01,2641,0.00157941818717933,"0.3.1"
"lag_llama.e3.brent.a01","lag_llama","e3","brent",0.01,2641,7.31972583323248e-07,"0.3.1"
"garch_t.param.brent.a01","garch_t","param","brent",0.01,2641,0.127750726760745,"0.3.1"
"gjr_t.param.brent.a01","gjr_t","param","brent",0.01,2641,0.134922903265817,"0.3.1"
"ewma94.param.brent.a01","ewma94","param","brent",0.01,2641,1.32874897553759e-05,"0.3.1"
"hs250.param.brent.a01","hs250","param","brent",0.01,2641,0.0262464698392785,"0.3.1"
"hs500.param.brent.a01","hs500","param","brent",0.01,2641,0.0503676790661363,"0.3.1"
"fhs.param.brent.a01","fhs","param","brent",0.01,2641,0.767339208353066,"0.3.1"
"chronos_bolt.e1.brent.a025","chronos_bolt","e1","brent",0.025,2641,9.99200722162641e-16,"0.3.1"
"chronos_bolt.e2.brent.a025","chronos_bolt","e2","brent",0.025,2641,0.0190140403265813,"0.3.1"
"chronos_bolt.e3.brent.a025","chronos_bolt","e3","brent",0.025,2641,0.0106164661506518,"0.3.1"
"chronos_2.e1.brent.a025","chronos_2","e1","brent",0.025,2641,3.57713858534225e-12,"0.3.1"
"chronos_2.e2.brent.a025","chronos_2","e2","brent",0.025,2641,0.0221128946091448,"0.3.1"
"chronos_2.e3.brent.a025","chronos_2","e3","brent",0.025,2641,0.0100699407396979,"0.3.1"
"timesfm_2_5.e1.brent.a025","timesfm_2_5","e1","brent",0.025,2641,4.61885418800989e-10,"0.3.1"
"timesfm_2_5.e2.brent.a025","timesfm_2_5","e2","brent",0.025,2641,0.0788575244589214,"0.3.1"
"timesfm_2_5.e3.brent.a025","timesfm_2_5","e3","brent",0.025,2641,0.192056413933599,"0.3.1"
"moirai_2_0.e1.brent.a025","moirai_2_0","e1","brent",0.025,2641,7.9730864133154e-09,"0.3.1"
"moirai_2_0.e2.brent.a025","moirai_2_0","e2","brent",0.025,2641,0.305980663523123,"0.3.1"
"moirai_2_0.e3.brent.a025","moirai_2_0","e3","brent",0.025,2641,0.896171596110394,"0.3.1"
"lag_llama.e1.brent.a025","lag_llama","e1","brent",0.025,2641,0,"0.3.1"
"lag_llama.e2.brent.a025","lag_llama","e2","brent",0.025,2641,0.00467365227275929,"0.3.1"
"lag_llama.e3.brent.a025","lag_llama","e3","brent",0.025,2641,1.55972101372193e-05,"0.3.1"
"garch_t.param.brent.a025","garch_t","param","brent",0.025,2641,0.0953223316798001,"0.3.1"
"gjr_t.param.brent.a025","gjr_t","param","brent",0.025,2641,0.10472290005073,"0.3.1"
"ewma94.param.brent.a025","ewma94","param","brent",0.025,2641,1.56841446382616e-05,"0.3.1"
"hs250.param.brent.a025","hs250","param","brent",0.025,2641,0.0172500628697415,"0.3.1"
"hs500.param.brent.a025","hs500","param","brent",0.025,2641,0.0348573264678048,"0.3.1"
"fhs.param.brent.a025","fhs","param","brent",0.025,2641,0.704030768944892,"0.3.1"
"chronos_bolt.e1.brent.a05","chronos_bolt","e1","brent",0.05,2641,0,"0.3.1"
"chronos_bolt.e2.brent.a05","chronos_bolt","e2","brent",0.05,2641,0.00214731578417626,"0.3.1"
"chronos_bolt.e3.brent.a05","chronos_bolt","e3","brent",0.05,2641,0.000698551416705273,"0.3.1"
"chronos_2.e1.brent.a05","chronos_2","e1","brent",0.05,2641,1.33226762955019e-15,"0.3.1"
"chronos_2.e2.brent.a05","chronos_2","e2","brent",0.05,2641,0.000917587270203302,"0.3.1"
"chronos_2.e3.brent.a05","chronos_2","e3","brent",0.05,2641,0.00820789716137882,"0.3.1"
"timesfm_2_5.e1.brent.a05","timesfm_2_5","e1","brent",0.05,2641,7.24165172272251e-12,"0.3.1"
"timesfm_2_5.e2.brent.a05","timesfm_2_5","e2","brent",0.05,2641,0.0297494489091242,"0.3.1"
"timesfm_2_5.e3.brent.a05","timesfm_2_5","e3","brent",0.05,2641,0.118370097144634,"0.3.1"
"moirai_2_0.e1.brent.a05","moirai_2_0","e1","brent",0.05,2641,4.74715156073557e-10,"0.3.1"
"moirai_2_0.e2.brent.a05","moirai_2_0","e2","brent",0.05,2641,0.0919688670470582,"0.3.1"
"moirai_2_0.e3.brent.a05","moirai_2_0","e3","brent",0.05,2641,0.974816927909406,"0.3.1"
"lag_llama.e1.brent.a05","lag_llama","e1","brent",0.05,2641,0,"0.3.1"
"lag_llama.e2.brent.a05","lag_llama","e2","brent",0.05,2641,0.000420993779128742,"0.3.1"
"lag_llama.e3.brent.a05","lag_llama","e3","brent",0.05,2641,1.14872875767169e-07,"0.3.1"
"garch_t.param.brent.a05","garch_t","param","brent",0.05,2641,0.0293073535296624,"0.3.1"
"gjr_t.param.brent.a05","gjr_t","param","brent",0.05,2641,0.0198800538059359,"0.3.1"
"ewma94.param.brent.a05","ewma94","param","brent",0.05,2641,9.26441802229228e-06,"0.3.1"
"hs250.param.brent.a05","hs250","param","brent",0.05,2641,0.0126545500079673,"0.3.1"
"hs500.param.brent.a05","hs500","param","brent",0.05,2641,0.00916206682177567,"0.3.1"
"fhs.param.brent.a05","fhs","param","brent",0.05,2641,0.306846979888923,"0.3.1"
"chronos_bolt.e1.btc.a01","chronos_bolt","e1","btc",0.01,3796,2.48997711338461e-10,"0.3.1"
"chronos_bolt.e2.btc.a01","chronos_bolt","e2","btc",0.01,3796,0.000100310226711531,"0.3.1"
"chronos_bolt.e3.btc.a01","chronos_bolt","e3","btc",0.01,3796,0.00251449183014141,"0.3.1"
