model,dgp,path,t,alpha,true_v,true_e,e2_v,e2_e,e3_v,e3_e
chronos_2,gjr_t,5,1331,0.025,-3.5873950795378664,-4.620212207614875,-2.48986621976053,-3.5998983339925608,-2.917423646465821,-3.758235811069793
chronos_2,gjr_t,5,1331,0.05,-2.892854084096083,-3.910740434388308,-1.9048018068024088,-2.8795214751326554,-2.297427929527654,-3.1658960896640536
chronos_2,gjr_t,5,1348,0.01,-3.5959485025720856,-4.458082741671487,-3.5502445699889185,-4.922357775549598,-3.5711280604969966,-4.3277515736575
chronos_2,gjr_t,5,1348,0.025,-2.862899439874493,-3.6871330444557198,-2.636964517616795,-3.7767213282439864,-2.826059579097436,-3.61828059231521
chronos_2,gjr_t,5,1348,0.05,-2.308625103556815,-3.120943289175474,-2.0271991624831687,-3.0346671432193255,-2.239236336014902,-3.059494289394201
chronos_2,gjr_t,5,1365,0.01,-3.489011205676732,-4.325507061739146,-4.497660437592858,-6.142450086371033,-4.137140482140879,-5.0379656161853195
chronos_2,gjr_t,5,1365,0.025,-2.7777617558491463,-3.577484076795142,-3.3726667831646346,-4.759311563120236,-3.2965113732863345,-4.207774815106452
chronos_2,gjr_t,5,1365,0.05,-2.2399705808509043,-3.0281318268118165,-2.611365249923964,-3.8513883621452254,-2.6541346829597017,-3.5733746813026914
chronos_2,gjr_t,5,1381,0.01,-3.118597586257831,-3.8662862016989323,-2.7784245651197677,-3.830434546766376,-2.5951302673047545,-3.1661393541096463
chronos_2,gjr_t,5,1381,0.025,-2.482858493803614,-3.197677665413282,-2.069750880939863,-2.9493126865043773,-2.0554503902828465,-2.6377659427872704
chronos_2,gjr_t,5,1381,0.05,-2.002162341973692,-2.706647829219044,-1.5937836603077684,-2.3752357119850367,-1.6401102400295111,-2.2311273012660964
chronos_2,gjr_t,5,1398,0.01,-2.814013037557418,-3.4886770343346427,-2.6982582299770232,-3.6945645231307784,-2.5314865139944556,-3.1117152953120137
chronos_2,gjr_t,5,1398,0.025,-2.2403647725378275,-2.885369590494901,-2.0184991983219933,-2.857298103315878,-2.0049317922038585,-2.5816616652113686
chronos_2,gjr_t,5,1398,0.05,-1.8066168454844247,-2.442297240612683,-1.559061237783501,-2.3083691391050096,-1.6087190583742381,-2.1828161337453897
chronos_2,gjr_t,5,1415,0.01,-2.3837987834633387,-2.9553182445672026,-2.5952162063483275,-3.5479850582358425,-2.4303332168660368,-3.0125869133957752
chronos_2,gjr_t,5,1415,0.025,-1.897851483987953,-2.444246145225442,-1.938997120334712,-2.745304059435164,-1.9037541664494624,-2.481254125951922
chronos_2,gjr_t,5,1415,0.05,-1.5304161640232887,-2.068911946506783,-1.493385121399286,-2.2165930407529237,-1.508270596446022,-2.0822002944864684
chronos_2,gjr_t,5,1432,0.01,-2.3132622844000266,-2.8678705102887068,-2.6181152710209954,-3.5988338890092386,-2.374472788576581,-2.9544232345923644
chronos_2,gjr_t,5,1432,0.025,-1.8416941437160825,-2.3719210114393126,-1.9486255982194645,-2.7745480327128442,-1.8559600916968977,-2.4270772828630975
chronos_2,gjr_t,5,1432,0.05,-1.485131218385692,-2.007692934822907,-1.4960058278006487,-2.2339839056293633,-1.468973670696938,-2.0334982563192585
chronos_2,gjr_t,5,1448,0.01,-2.386623690674933,-2.958820427670721,-2.7565497332465094,-3.793732077793921,-2.4784053147409675,-3.1250528600154914
