forecaster,asset,alpha,erule,group,n,n_alpha,hit_rate,kupiec_stat,kupiec_p_asym,kupiec_p_mc,cc_stat,cc_p_asym,cc_p_mc,dq_p_asym,qs_mean,sigma_tail,prec_floor,fz0_mean,z2,dq_p_mc,es_viol,context_model
zero_loc,aapl,0.05,param,equity_single,2139,106.95,0.0523609163160355,0.2473461552019671,0.61894996128077,0.617038296170383,0.4781542530214437,0.787354154152228,0.7908209179082092,0.4446206825576921,0.2116055457992983,1.2551510820587304,0.1213683954443913,1.386822197858745,0.070182219829292,0.5286471352864713,,chronos_bolt
const_loc,aapl,0.05,param,equity_single,2139,106.95,0.053763440860215,0.6231917562167837,0.4298636764720086,0.4596540345965403,0.7385393540606628,0.6912389740388614,0.6879312068793121,0.4695776653694471,0.211372640119904,1.2455985644563188,0.1204447028703011,1.3863821692632377,0.0897052510685174,0.5717428257174283,,chronos_bolt
fhs,aapl,0.05,param,equity_single,2139,106.95,0.0504908835904628,0.0108176337151917,0.9171631157046664,0.9217078292170784,2.1869499867799504,0.3350501712685516,0.3411658834116588,0.0798022885432586,0.2155501770163441,1.3382490179886528,0.1294036537433469,1.4094689814622965,0.035890771926571,0.273972602739726,,chronos_bolt
gjr_t,aapl,0.05,param,equity_single,2139,106.95,0.0579710144927536,2.727652793293146,0.0986241341816229,0.1027897210278972,3.560472772022422,0.1685982882808639,0.1680831916808319,0.2515455532430428,0.2085379276809021,1.3273519937138785,0.1283499524238383,1.3617232303128972,0.1706724051341439,0.252974702529747,,chronos_bolt
chronos_bolt+unrepaired,amzn,0.01,e3,equity_single,2139,21.39,0.0121552127162225,0.9390399563191636,0.332524862673879,0.3876612338766123,1.9112367552275489,0.3845742588964413,0.2870712928707129,0.0011572907223625,0.075548961535356,2.252918064159717,0.4871245358313797,2.03115725528344,0.3229951491921363,0.0374962503749625,,
chronos_bolt+unrepaired,amzn,0.01,e2,equity_single,2139,21.39,0.0116877045348293,0.5837727437008766,0.4448373138292792,0.446955304469553,5.103599499131235,0.0779412649379588,0.0523947605239476,1.3233225966347073e-05,0.0786372158795538,2.123923028635332,0.4592333098680401,2.071244560786392,0.182761765663419,0.0114988501149885,,
chronos_bolt+F1,amzn,0.01,e3,equity_single,2139,21.39,0.010752688172043,0.1194762493800283,0.7296032349007772,0.7441255874412559,0.6197225160582605,0.7335487231600335,0.7904209579042096,0.0775718244067835,0.0767661881869926,2.171839064512933,0.4695936851995158,2.0494179988300667,0.2001718204396116,0.2937706229377062,,
chronos_bolt+H,amzn,0.01,e3,equity_single,2139,21.39,0.010752688172043,0.1194762493800283,0.7296032349007772,0.7441255874412559,0.6197225160582605,0.7335487231600335,0.7904209579042096,0.8379621866656419,0.0736463904907562,1.9851374147740448,0.4292251711754917,1.981895983944118,0.1627892191543996,0.7765223477652234,,
chronos_bolt+X4,amzn,0.01,e3,equity_single,2139,21.39,0.010752688172043,0.1194762493800283,0.7296032349007772,0.7441255874412559,0.6197225160582605,0.7335487231600335,0.7904209579042096,0.0589328933791392,0.0769806392977443,2.166953098944118,0.4685372447777977,2.056238597405825,0.2119942975324205,0.2937706229377062,,
chronos_bolt+F2g05,amzn,0.01,e3,equity_single,2139,21.39,0.0116877045348293,0.5837727437008766,0.4448373138292792,0.446955304469553,1.669350480123455,0.4340154093654337,0.3501649835016498,0.0009979256969641,0.0755422248291035,2.264713791500258,0.4896750006250019,2.0303573728921385,0.2846447313270022,0.0323967603239676,,
chronos_bolt+F2,amzn,0.01,e3,equity_single,2139,21.39,0.0116877045348293,0.5837727437008766,0.4448373138292792,0.446955304469553,1.669350480123455,0.4340154093654337,0.3501649835016498,0.0009878692172272,0.0755392106272223,2.265322526952648,0.4898066210240776,2.0296375480641893,0.2807460600786593,0.0323967603239676,,
chronos_bolt+F2g20,amzn,0.01,e3,equity_single,2139,21.39,0.0112201963534361,0.3094729519100383,0.5780037832901184,0.5888411158884111,0.8544231637233111,0.6523255173782079,0.6624337566243376,0.0020881631958153,0.0755162260029864,2.279366253132899,0.4928431467218949,2.0286472448208444,0.2409206109189117,0.052994700529947,,
