episode,index,onset,layer,alpha,window,n_assets,n_calm_days,band,mde_mult,dep_uncalibrated,direction_only,descriptive_only,tau_rec,ever_above,censored,onset_rate,post_cutoff
vix_ep16,vix,2018-12-18,chronos_bolt:f1,0.025,21,24,252,0.03946,1.58,False,False,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,chronos_bolt:f1,0.025,10,24,252,0.04678,1.87,False,True,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,chronos_bolt:f1,0.05,21,24,252,0.07659,1.53,False,False,False,,False,False,0.125,False
vix_ep16,vix,2018-12-18,chronos_bolt:f1,0.05,10,24,252,0.08763,1.75,False,False,False,14.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,chronos_bolt:f1,0.01,21,24,252,0.02066,2.07,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,chronos_bolt:f1,0.01,10,24,252,0.02154,2.15,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,chronos_2:f1,0.025,21,24,252,0.04225,1.69,False,False,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,chronos_2:f1,0.025,10,24,252,0.04949,1.98,False,True,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,chronos_2:f1,0.05,21,24,252,0.07552,1.51,False,False,False,,False,False,0.125,False
vix_ep16,vix,2018-12-18,chronos_2:f1,0.05,10,24,252,0.08645,1.73,False,False,False,12.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,chronos_2:f1,0.01,21,24,252,0.01814,1.81,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,chronos_2:f1,0.01,10,24,252,0.02199,2.2,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,timesfm_2_5:f1,0.025,21,24,252,0.04109,1.64,False,False,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,timesfm_2_5:f1,0.025,10,24,252,0.04617,1.85,False,True,False,13.0,True,False,0.083,False
vix_ep16,vix,2018-12-18,timesfm_2_5:f1,0.05,21,24,252,0.0714,1.43,False,False,False,22.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,timesfm_2_5:f1,0.05,10,24,252,0.08323,1.66,False,False,False,15.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,timesfm_2_5:f1,0.01,21,24,252,0.01906,1.91,False,False,True,,False,False,0.042,False
vix_ep16,vix,2018-12-18,timesfm_2_5:f1,0.01,10,24,252,0.0274,2.74,False,False,True,15.0,True,False,0.042,False
vix_ep16,vix,2018-12-18,moirai_2_0:f1,0.025,21,24,252,0.0394,1.58,False,False,False,,False,False,0.083,False
vix_ep16,vix,2018-12-18,moirai_2_0:f1,0.025,10,24,252,0.04822,1.93,False,True,False,15.0,True,False,0.083,False
vix_ep16,vix,2018-12-18,moirai_2_0:f1,0.05,21,24,252,0.07104,1.42,False,False,False,24.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,moirai_2_0:f1,0.05,10,24,252,0.07995,1.6,False,False,False,15.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,moirai_2_0:f1,0.01,21,24,252,0.01802,1.8,False,False,True,,False,False,0.0,False
vix_ep16,vix,2018-12-18,moirai_2_0:f1,0.01,10,24,252,0.02593,2.59,False,False,True,15.0,True,False,0.0,False
vix_ep16,vix,2018-12-18,lag_llama:f1,0.025,21,24,252,0.03896,1.56,False,False,False,25.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,lag_llama:f1,0.025,10,24,252,0.04769,1.91,False,True,False,15.0,True,False,0.125,False
vix_ep16,vix,2018-12-18,lag_llama:f1,0.05,21,24,252,0.06935,1.39,False,False,False,26.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,lag_llama:f1,0.05,10,24,252,0.08142,1.63,False,False,False,17.0,True,False,0.167,False
vix_ep16,vix,2018-12-18,lag_llama:f1,0.01,21,24,252,0.01755,1.76,False,False,True,26.0,True,False,0.042,False
vix_ep16,vix,2018-12-18,lag_llama:f1,0.01,10,24,252,0.02527,2.53,False,False,True,15.0,True,False,0.042,False
vix_ep17,vix,2020-02-24,chronos_bolt:e3,0.025,21,24,252,0.04127,1.65,False,False,False,39.0,True,False,0.458,False
vix_ep17,vix,2020-02-24,chronos_bolt:e3,0.025,10,24,252,0.04956,1.98,False,True,False,29.0,True,False,0.458,False
vix_ep17,vix,2020-02-24,chronos_bolt:e3,0.05,21,24,252,0.07788,1.56,False,False,False,39.0,True,False,0.75,False
vix_ep17,vix,2020-02-24,chronos_bolt:e3,0.05,10,24,252,0.09222,1.84,False,False,False,29.0,True,False,0.75,False
vix_ep17,vix,2020-02-24,chronos_bolt:e3,0.01,21,24,252,0.01947,1.95,False,False,True,37.0,True,False,0.208,False
vix_ep17,vix,2020-02-24,chronos_bolt:e3,0.01,10,24,252,0.02457,2.46,False,False,True,28.0,True,False,0.208,False
vix_ep17,vix,2020-02-24,chronos_2:e3,0.025,21,24,252,0.04058,1.62,False,False,False,35.0,True,False,0.417,False
vix_ep17,vix,2020-02-24,chronos_2:e3,0.025,10,24,252,0.04727,1.89,False,True,False,24.0,True,False,0.417,False
vix_ep17,vix,2020-02-24,chronos_2:e3,0.05,21,24,252,0.07507,1.5,False,False,False,34.0,True,False,0.583,False
vix_ep17,vix,2020-02-24,chronos_2:e3,0.05,10,24,252,0.08555,1.71,False,False,False,25.0,True,False,0.583,False
vix_ep17,vix,2020-02-24,chronos_2:e3,0.01,21,24,252,0.01832,1.83,False,False,True,35.0,True,False,0.167,False
vix_ep17,vix,2020-02-24,chronos_2:e3,0.01,10,24,252,0.02165,2.16,False,False,True,26.0,True,False,0.167,False
vix_ep17,vix,2020-02-24,timesfm_2_5:e3,0.025,21,24,252,0.04031,1.61,False,False,False,40.0,True,False,0.542,False
vix_ep17,vix,2020-02-24,timesfm_2_5:e3,0.025,10,24,252,0.04498,1.8,False,True,False,32.0,True,False,0.542,False
vix_ep17,vix,2020-02-24,timesfm_2_5:e3,0.05,21,24,252,0.07036,1.41,False,False,False,49.0,True,False,0.625,False
vix_ep17,vix,2020-02-24,timesfm_2_5:e3,0.05,10,24,252,0.0813,1.63,False,False,False,35.0,True,False,0.625,False
vix_ep17,vix,2020-02-24,timesfm_2_5:e3,0.01,21,24,252,0.01989,1.99,False,False,True,37.0,True,False,0.333,False
