layer,asset,state,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
timesfm_2_5:e3,msft,low,1992,0.05923694779116466,0.0731926807319268,True,1.2300171691555897
timesfm_2_5:e3,msft,high,646,0.0804953560371517,0.0013998600139986002,False,1.5875334192253285
timesfm_2_5:e3,ndx,low,1968,0.06097560975609756,0.032096790320967905,False,1.0565445711222912
timesfm_2_5:e3,ndx,high,670,0.08059701492537313,0.0007999200079992001,False,1.4485142675228737
timesfm_2_5:e3,nikkei,low,2040,0.057352941176470586,0.1461853814618538,True,0.9758726943447597
timesfm_2_5:e3,nikkei,high,525,0.06857142857142857,0.0690930906909309,True,1.4999617084622285
timesfm_2_5:e3,nvda,low,1947,0.06111967128916281,0.030996900309969003,False,1.7781189136831508
timesfm_2_5:e3,nvda,high,691,0.0723589001447178,0.015398460153984602,False,2.1440994229522827
timesfm_2_5:e3,rut,low,2163,0.05177993527508091,0.7299270072992701,True,1.0058868405680204
timesfm_2_5:e3,rut,high,475,0.07578947368421053,0.019198080191980802,False,1.6505770495612055
timesfm_2_5:e3,spx,low,2134,0.053420805998125584,0.48575142485751427,True,0.729904335847226
timesfm_2_5:e3,spx,high,504,0.0873015873015873,0.0007999200079992001,False,1.4181871397555705
timesfm_2_5:e3,usdcad,low,1902,0.050473186119873815,0.9592040795920408,True,-0.1572338033236108
timesfm_2_5:e3,usdcad,high,831,0.06738868832731648,0.0327967203279672,False,0.19153688644681638
timesfm_2_5:e3,usdchf,low,2083,0.0556889102256361,0.2515748425157484,True,0.003085604230504796
timesfm_2_5:e3,usdchf,high,649,0.0847457627118644,0.0004999500049995,False,0.45261740534083594
timesfm_2_5:e3,wmt,low,2257,0.06335844040762073,0.0059994000599940004,False,1.0557117000798073
timesfm_2_5:e3,wmt,high,381,0.07611548556430446,0.0374962503749625,False,1.4415487869630057
timesfm_2_5:e3,xom,low,2016,0.049107142857142856,0.8769123087691231,True,1.1318200499185511
timesfm_2_5:e3,xom,high,622,0.08681672025723473,0.00039996000399960006,False,1.8500009095145078
timesfm_2_5:e3,xrp,low,1707,0.05506736965436438,0.35006499350064996,True,2.146706640145286
timesfm_2_5:e3,xrp,high,451,0.07538802660753881,0.021497850214978503,False,2.828341393892639
moirai_2_0:e3,aapl,low,1946,0.052415210688591986,0.6381361863813618,True,1.2712002101538267
moirai_2_0:e3,aapl,high,692,0.05057803468208093,1.0,True,1.4804331241133166
moirai_2_0:e3,amzn,low,2014,0.04716981132075472,0.5813418658134186,True,1.3964317417888639
moirai_2_0:e3,amzn,high,624,0.07371794871794872,0.012898710128987101,False,1.7861156400785403
moirai_2_0:e3,audusd,low,2017,0.0495785820525533,0.9588041195880412,True,0.2668719755603341
moirai_2_0:e3,audusd,high,716,0.051675977653631286,0.8609139086091391,True,0.44437108127071834
moirai_2_0:e3,brent,low,2216,0.04648014440433213,0.47365263473652636,True,1.6215182939828345
moirai_2_0:e3,brent,high,424,0.0660377358490566,0.18198180181981802,True,2.294987424401266
moirai_2_0:e3,csi300,low,1756,0.042710706150341685,0.1511848815118488,True,1.0852918778790817
moirai_2_0:e3,csi300,high,423,0.07801418439716312,0.0182981701829817,False,1.824885481296441
moirai_2_0:e3,dax,low,2075,0.047710843373493975,0.6576342365763423,True,0.8233278722518231
moirai_2_0:e3,dax,high,589,0.06960950764006792,0.045795420457954206,False,1.3906221130921703
moirai_2_0:e3,dgs10,low,1997,0.03755633450175263,0.008799120087991202,False,2.317727485155477
moirai_2_0:e3,dgs10,high,627,0.05582137161084529,0.5241475852414759,True,2.5722853860624286
moirai_2_0:e3,dgs2,low,2146,0.04287045666356011,0.1254874512548745,True,2.2101721059666932
moirai_2_0:e3,dgs2,high,478,0.0397489539748954,0.3026697330266973,True,
moirai_2_0:e3,dgs30,low,2032,0.04773622047244094,0.6498350164983502,True,
moirai_2_0:e3,dgs30,high,592,0.05912162162162162,0.34526547345265474,True,
moirai_2_0:e3,dgs5,low,1993,0.04264927245358756,0.12098790120987901,True,2.3352699883153827
moirai_2_0:e3,dgs5,high,631,0.039619651347068144,0.23847615238476152,True,2.6472833133841305
moirai_2_0:e3,eth,low,1546,0.0536869340232859,0.5255474452554745,True,2.1483741717647478
moirai_2_0:e3,eth,high,612,0.06372549019607843,0.1381861813818618,True,2.3988985663048816
moirai_2_0:e3,ftse,low,2156,0.037569573283859,0.007399260073992601,False,0.5318854982846657
moirai_2_0:e3,ftse,high,495,0.10707070707070707,9.999000099990002e-05,False,1.501029617244901
moirai_2_0:e3,gold,low,1981,0.05350832912670368,0.5074492550744926,True,0.8156105086921657
moirai_2_0:e3,gold,high,657,0.060882800608828,0.24327567243275672,True,1.0327459407704993
moirai_2_0:e3,hsi,low,2066,0.0484027105517909,0.7672232776722328,True,1.0774057146810545
