layer,asset,stratum,n,hit_rate,uc_p_mc,uc_pass,fz0_mean
chronos_2:e3,eth,Q1,540,0.05185185185185185,0.9226077392260774,True,1.8865177178289216
chronos_2:e3,eth,Q2,539,0.07235621521335807,0.031796820317968204,False,2.3184815686761775
chronos_2:e3,eth,Q3,540,0.05925925925925926,0.37816218378162186,True,2.186242636927301
chronos_2:e3,eth,Q4,540,0.046296296296296294,0.7051294870512949,True,2.5566383972380753
chronos_2:e3,ftse,Q1,663,0.04524886877828054,0.5954404559544045,True,0.43918177037674677
chronos_2:e3,ftse,Q2,663,0.06033182503770739,0.24317568243175683,True,0.5780504617405587
chronos_2:e3,ftse,Q3,663,0.043740573152337855,0.47365263473652636,True,0.6730009065686724
chronos_2:e3,ftse,Q4,663,0.05128205128205128,0.9287071292870713,True,1.1689812784457785
chronos_2:e3,gbpusd,Q1,684,0.06286549707602339,0.15728427157284272,True,0.10809310374324063
chronos_2:e3,gbpusd,Q2,683,0.043923865300146414,0.49095090490950904,True,0.042200218893093416
chronos_2:e3,gbpusd,Q3,683,0.04538799414348463,0.6065393460653935,True,0.2378004658745449
chronos_2:e3,gbpusd,Q4,684,0.038011695906432746,0.1351864813518648,True,0.6027289624215753
chronos_2:e3,gold,Q1,660,0.05,1.0,True,0.5510876928890169
chronos_2:e3,gold,Q2,659,0.03945371775417299,0.21737826217378262,True,0.771769641466616
chronos_2:e3,gold,Q3,660,0.05757575757575758,0.42555744425557446,True,0.8977281446780863
chronos_2:e3,gold,Q4,660,0.03636363636363636,0.10978902109789021,True,1.159323566387551
chronos_2:e3,hsi,Q1,645,0.06976744186046512,0.027097290270972903,False,0.8622957517499947
chronos_2:e3,hsi,Q2,645,0.04186046511627907,0.36766323367663234,True,0.8965564287498801
chronos_2:e3,hsi,Q3,645,0.05271317829457364,0.7843215678432157,True,1.0909564955178477
chronos_2:e3,hsi,Q4,645,0.04961240310077519,1.0,True,1.6247133200162898
chronos_2:e3,jnj,Q1,660,0.05303030303030303,0.7902209779022098,True,0.6832975346125905
chronos_2:e3,jnj,Q2,659,0.05311077389984825,0.7215278472152785,True,0.9158224613124503
chronos_2:e3,jnj,Q3,660,0.05,1.0,True,0.9970440974721424
chronos_2:e3,jnj,Q4,660,0.05,1.0,True,1.1761065089169065
chronos_2:e3,jpm,Q1,660,0.05909090909090909,0.3321667833216678,True,1.081337314142385
chronos_2:e3,jpm,Q2,659,0.04552352048558422,0.6561343865613438,True,1.1487043972362312
chronos_2:e3,jpm,Q3,660,0.06363636363636363,0.126987301269873,True,1.3211411942934383
chronos_2:e3,jpm,Q4,660,0.03636363636363636,0.10978902109789021,True,1.476759978957556
chronos_2:e3,ltc,Q1,827,0.05078597339782346,0.9424057594240576,True,2.0900603306544068
