model,asset,alpha,pair,n,stat,p,mean_diff
chronos_bolt,dgs5,0.05,F1_vs_garch_evt,2125,-1.5803726209900095,0.1141704527891887,-0.0259068950734734
chronos_bolt,dgs5,0.05,F1_vs_F4,2125,-0.3037708737253031,0.7613322117598158,-0.0034617776610497
chronos_bolt,eth,0.01,F1_vs_garch_evt,1659,-0.3863243279900621,0.6993060548627968,-0.0185844764454991
chronos_bolt,eth,0.01,F1_vs_F4,1658,-2.108323667975132,0.0351527874003634,-0.1289298496510534
chronos_bolt,eth,0.025,F1_vs_garch_evt,1659,-0.3370595060003674,0.7361147033978039,-0.0085760943393397
chronos_bolt,eth,0.025,F1_vs_F4,1659,-1.4368339393404364,0.1509538539430611,-0.0350134256685288
chronos_bolt,eth,0.05,F1_vs_garch_evt,1659,-0.743301664062839,0.4574043735240536,-0.0131736220504447
chronos_bolt,eth,0.05,F1_vs_F4,1659,-0.91415145734742,0.3607701850136822,-0.0152851318600062
chronos_bolt,ftse,0.01,F1_vs_garch_evt,2152,2.061331884299076,0.0393913164141541,0.1348438771818768
chronos_bolt,ftse,0.01,F1_vs_F4,2152,-1.4358868080744152,0.1511799576180502,-0.0767734755865281
chronos_bolt,ftse,0.025,F1_vs_garch_evt,2152,2.120519116167172,0.0340764509339646,0.0783900357378792
chronos_bolt,ftse,0.025,F1_vs_F4,2152,-1.9015789261988452,0.0573597211537136,-0.0389981380468437
chronos_bolt,ftse,0.05,F1_vs_garch_evt,2152,2.273414937351414,0.0230993740436136,0.056303842205979
chronos_bolt,ftse,0.05,F1_vs_F4,2152,-1.4031277712543306,0.160723069699583,-0.0142240386139514
chronos_bolt,gbpusd,0.01,F1_vs_garch_evt,2234,0.43197069006253,0.6658044220798911,0.0165345416024435
chronos_bolt,gbpusd,0.01,F1_vs_F4,2169,-3.0874663580727333,0.0020442637937229,-0.1253763015726649
chronos_bolt,gbpusd,0.025,F1_vs_garch_evt,2234,1.3281360320738516,0.1842689023514615,0.0293780055030712
chronos_bolt,gbpusd,0.025,F1_vs_F4,2214,-1.9470857840954563,0.0516507955189259,-0.0297359227252826
chronos_bolt,gbpusd,0.05,F1_vs_garch_evt,2234,1.4147505708374808,0.1572810667711427,0.0220206844667722
chronos_bolt,gbpusd,0.05,F1_vs_F4,2234,-0.7062854933632914,0.4800842960683724,-0.0052907746258866
chronos_bolt,gold,0.01,F1_vs_garch_evt,2139,-0.5443360262679201,0.5862670238589585,-0.0160767527666382
chronos_bolt,gold,0.01,F1_vs_F4,2108,-0.1456572512470001,0.8842059025202118,-0.006155719088124
chronos_bolt,gold,0.025,F1_vs_garch_evt,2139,0.1840085649567871,0.8540241857061815,0.0031384908848269
chronos_bolt,gold,0.025,F1_vs_F4,2114,1.0106317307251838,0.3123084354152574,0.0161651344473503
chronos_bolt,gold,0.05,F1_vs_garch_evt,2139,1.6588079385679912,0.097301177091663,0.0207819445630118
chronos_bolt,gold,0.05,F1_vs_F4,2139,1.4997801520523997,0.1338190045754885,0.0139474021263152
chronos_bolt,hsi,0.01,F1_vs_garch_evt,2080,0.886225495897613,0.3755985241328942,0.0609699842769816
chronos_bolt,hsi,0.01,F1_vs_F4,2080,-1.5036912282176509,0.1328127744763728,-0.0970279623109673
