model,asset,alpha,pair,n,stat_frozen,p_frozen,stat_nw,p_nw,nw_lag,mean_diff
chronos_bolt,dgs10,0.05,F1_vs_F4,2124,-1.5980313322929518,0.1101848166609355,-1.5565556875547684,0.11957601148435137,7,-0.012562787120809
chronos_bolt,dgs2,0.01,F1_vs_garch_evt,2125,-0.5246277329284221,0.5998967518020517,-0.4759627561753491,0.6341009116040639,7,-0.0206184752352988
chronos_bolt,dgs2,0.01,F1_vs_F4,2102,-1.5448145740372965,0.1225417221544391,-1.2677453455932555,0.2048889056160732,7,-0.0936067263548389
chronos_bolt,dgs2,0.025,F1_vs_garch_evt,2125,-0.8505853173595512,0.3950956229886078,-0.6957899875690597,0.4865603604697708,7,-0.0211472479657212
chronos_bolt,dgs2,0.025,F1_vs_F4,2098,-1.949567302051088,0.0513608430009847,-1.4992319367635867,0.13381347257731324,7,-0.0688436565666767
chronos_bolt,dgs2,0.05,F1_vs_garch_evt,2125,-0.7531129488195449,0.4514655083892916,-0.6300539401865476,0.5286592936033918,7,-0.014085547181382
chronos_bolt,dgs2,0.05,F1_vs_F4,2102,-2.412536744573484,0.0159271073628089,-1.8702644405478037,0.06144710497155881,7,-0.0507072365238407
chronos_bolt,dgs30,0.01,F1_vs_garch_evt,2125,0.7298222581664111,0.4655793160106485,0.6893077297558503,0.4906296346648116,7,0.0220686493022895
chronos_bolt,dgs30,0.01,F1_vs_F4,2041,-3.026023110080176,0.0025089046971325,-2.7671169952312438,0.005655445515226454,7,-0.1443472762200876
chronos_bolt,dgs30,0.025,F1_vs_garch_evt,2125,0.5345641503099954,0.5930072289934805,0.5114543346484148,0.6090329566867072,7,0.0102867217958097
chronos_bolt,dgs30,0.025,F1_vs_F4,2052,-4.19114525034671,2.893330752761922e-05,-3.53528218025942,0.00040733991793495683,7,-0.0724287875839149
chronos_bolt,dgs30,0.05,F1_vs_garch_evt,2125,0.9630855644974332,0.3356142158896322,0.9249444259523455,0.35499481601884897,7,0.0125719692084593
chronos_bolt,dgs30,0.05,F1_vs_F4,2064,-5.183222070495778,2.3936169572358044e-07,-4.1610545240712105,3.1678143579627616e-05,7,-0.0497541814991188
chronos_bolt,dgs5,0.01,F1_vs_garch_evt,2125,-0.5337226623948029,0.5935892755326021,-0.5529889539538781,0.5802709740137311,7,-0.0214855650643766
